id,cult,endo,trat,herb,biomasa_total,biomasa_reproductiva,biomasa_seca,biomasa_verde,hojas_totales,n_macollos_pre_ferti,nro_macollos_post_ferti,delta_macollos,panojas_final,panojas_inicial,delta_panojas,tasa_espigacion,spad,C_porcentaje,Nt_porcentaje,P_ppm,C_N_ratio,P_foliar_porcentaje,N_P_ratio,Mycelial_mass_ELISA,Ergovaline_ppm,Peramine_ppm,TotalLolines_ppm,NAL_ppm,NANL_ppm,NFL_ppm,hojas_danadas,area_foliar_daniada_porcentaje,prop_hojas_daniadas,area_daniada_total,peso_ensamble_herbivoros,peso_medio_inicial_herbivoro,peso_medio_final_herbivoro,herbivoros_recuperados,biomasa_total_herbivoros,ratio_BiomHerb_BiomAerea,hifas,vesiculas,arbusculos,colonizacion_total,raw_index_herbivory,index_herbivory,biom_radical
64,WT,E+,T3,H-,7.54,0,1.26,6.28,112,14,24,10,0,0,0,0,33.24,39.12,1.687,4511.8,23.1890930646117,0.45118,3.73908417926327,2.5510752688172,0.859,1.881,133.777,26.071,20.628,87.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33.33333333,83.33333333,6,NA,NA,
65,WT,E+,T2,H+,5.36,0,0.99,4.37,104,25,42,17,0,0,0,0,31.16,40.19,1.768,4535.4,22.7319004524887,0.45354,3.8982228689862,6.43170731707317,5.578,13.871,426.755,56.709,59.269,310.777,58,7.962,0.557692307692308,4.44034615384615,0.8522,0.17044,0.3781,1,0.3781,0.070541044776119,1,50,0,2,9,5.01923076923077,6.3496
66,WT,E+,Control,H-,8.68,2.33,1.36,4.99,186,26,37,11,4,0,4,0.363636364,35,39.9,1.594,3895.1,25.0313676286073,0.38951,4.09232112140895,3.66121495327103,3.509,6.958,197.939,17.497,29.63,150.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72.72727273,36.36363636,11,NA,NA,
67,WT,E-,T2,H-,7.15,1.15,1.8,4.2,140,26,26,0,2,2,0,0,31.72,39.28,1.37,2952.3,28.6715328467153,0.29523,4.64044981878535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11.76470588,5.882352941,17,NA,NA,
68,WT,E-,T2,H+,6.05,2.35,1.54,2.16,101,23,42,19,4,4,0,0,29.92,39.73,1.218,2681.5,32.6190476190476,0.26815,4.54223382435204,NA,NA,NA,NA,NA,NA,NA,46,13.235,0.455445544554455,6.02782178217822,0.8321,0.16642,0.33405,2,0.6681,0.110429752066116,0,44.44444444,55.55555556,9,10,4.55445544554455,
69,WT,E-,T3,H-,6.71,0,0.73,5.98,256,29,48,19,0,0,0,0,34.64,36.02,1.42,4768.1,25.3661971830986,0.47681,2.97812545877813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14.28571429,71.42857143,21,NA,NA,
70,WT,E-,T2,H+,4.63,0,1.45,3.18,192,28,46,18,0,0,0,0,28.58,36.83,1.485,4662.2,24.8013468013468,0.46622,3.18519154047445,NA,NA,NA,NA,NA,NA,NA,42,2.862,0.21875,0.6260625,0.8531,0.17062,0.2989,1,0.2989,0.064557235421166,10,22.22222222,22.22222222,18,5,1.09375,
71,WT,E-,T3,H+,4.23,0,1.72,2.51,85,29,36,7,0,0,0,0,26.78,37.4,1.669,4385.5,22.4086279209107,0.43855,3.80572340668111,NA,NA,NA,NA,NA,NA,NA,48,4.787,0.564705882352941,2.70324705882353,0.8518,0.17036,0.2716,2,0.5432,0.128416075650118,0,100,0,14,7,3.95294117647059,
72,WT,E-,Control,H+,6.08,0,1.64,4.44,105,23,37,14,0,0,0,0,32.64,40.01,1.767,4103.8,22.6428975664969,0.41038,4.30576538817681,NA,NA,NA,NA,NA,NA,NA,49,5.279,0.466666666666667,2.46353333333333,0.762,0.1524,0.1452,2,0.2904,0.047763157894737,8,4.166666667,62.5,24,8,3.73333333333334,
73,WT,E-,T3,H-,5.28,0,1.24,4.04,188,19,47,28,0,0,0,0,32.92,37.51,1.87,5325,20.0588235294118,0.5325,3.51173708920188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.42857143,57.14285714,14,NA,NA,4.8175
74,WT,E-,T2,H+,5.27,0.78,0.78,3.71,116,27,39,12,2,1,1,0.090909091,33.08,40.96,1.68,4021,24.3809523809524,0.4021,4.17806515792091,NA,NA,NA,NA,NA,NA,NA,24,7.033,0.206896551724138,1.45510344827586,0.7854,0.15708,0.4812,1,0.4812,0.091309297912714,6,0,45.45454545,11,9,1.86206896551724,
75,WT,E-,T2,H-,8.42,2.23,1.46,4.73,154,24,34,10,0,0,0,0,30.3,40.47,1.679,3212.6,24.1036331149494,0.32126,5.22629645769782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.42857143,71.42857143,14,NA,NA,
76,WT,E-,T1,H-,7.94,0,0.9,7.04,129,23,33,10,0,0,0,0,33.98,40.22,1.539,3035.1,26.133853151397,0.30351,5.070673124444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75,12.5,8,NA,NA,
77,WT,E-,T1,H+,3.58,0.02,1.12,2.44,130,19,49,30,1,0,1,0.090909091,30.12,38.84,1.809,4614.3,21.4704256495301,0.46143,3.92042129900527,NA,NA,NA,NA,NA,NA,NA,88,15.845,0.676923076923077,10.7258461538462,0.7223,0.14446,0.31135,2,0.6227,0.173938547486034,0,75,25,12,14,9.47692307692308,
78,WT,E-,Control,H+,5.55,0,1.59,3.96,129,27,42,15,0,0,0,0,32,39.93,1.534,3075.5,26.0299869621903,0.30755,4.98780686067306,NA,NA,NA,NA,NA,NA,NA,56,5.804,0.434108527131783,2.51956589147287,0.7627,0.15254,0.2346,1,0.2346,0.04227027027027,2,33.33333333,50,12,8,3.47286821705426,
79,WT,E+,T1,H-,7.79,0,1.41,6.38,170,29,35,6,0,0,0,0,30.88,39.82,1.563,3389.6,25.4766474728087,0.33896,4.61116355912202,4.67204301075269,2.885,17.524,409.109,67.606,83.764,257.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,50,4,NA,NA,
80,WT,E+,T2,H-,8.36,0,6.55,1.81,131,27,30,3,0,0,0,0,29.7,39.53,1.423,3160.1,27.7793394237526,0.31601,4.50302205626404,6.15384615384615,2.985,7.051,400.032,57.338,79.407,263.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,
81,WT,E+,T1,H+,5.03,0.09,1.8,3.14,84,30,35,5,1,0,1,0.090909091,31.84,40.04,1.709,2608.5,23.4289057928613,0.26085,6.55165804101974,NA,0,0.062,3.694,2.026,1.668,0,66,5.357,0.785714285714286,4.20907142857143,0.7409,0.14818,0,0,0,0,0,50,50,4,7,5.5,
82,TA,E-,T1,H+,6.66,5.15,0.96,0.55,47,27,34,7,10,10,0,0,26.84,41.88,0.933,2035.1,44.887459807074,0.20351,4.58454130018181,NA,NA,NA,NA,NA,NA,NA,47,58.731,1,58.731,0.7898,0.15796,0.2854,2,0.5708,0.085705705705706,11,0,31.25,16,24,24,2.1725
83,TA,E-,T2,H-,9.64,6.32,1.39,1.93,71,27,32,5,1,0,1,0.090909091,28.44,40.42,1.168,2888.1,34.6061643835616,0.28881,4.04418129566151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,50,14,NA,NA,
84,TA,E-,Control,H-,6.39,3.06,0.77,2.56,136,24,31,7,7,7,0,0,26.2,40.58,0.998,2309.8,40.6613226452906,0.23098,4.32072040869339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.18181818,54.54545455,11,NA,NA,3.485
85,TA,E-,T3,H+,5.31,0.49,1.35,3.47,93,18,25,7,2,0,2,0.181818182,32.26,40.09,1.449,3566.2,27.6673567977916,0.35662,4.06314844932982,NA,NA,NA,NA,NA,NA,NA,68,10.862,0.731182795698925,7.94210752688172,0.7236,0.14472,0,0,0,0,10,6.25,37.5,16,12,8.7741935483871,
86,TA,E-,T2,H+,5.96,4.1,1.26,0.6,29,14,25,11,8,4,4,0.363636364,32.74,41.56,1.059,1850.5,39.2445703493862,0.18505,5.7227776276682,NA,NA,NA,NA,NA,NA,NA,22,15.284,0.758620689655172,11.5947586206897,0.8822,0.17644,0,0,0,0,3,48.57142857,77.14285714,35,12,9.10344827586206,
87,TA,E+,T3,H+,6.2,3.92,1.63,0.65,55,20,24,4,9,7,2,0.181818182,29.58,42.26,0.913,1978.4,46.2869660460022,0.19784,4.61484027496967,2.39356435643564,0,11.145,203.252,1.66,150.378,51.214,55,24.501,1,24.501,0.8174,0.16348,0.23455,2,0.4691,0.075661290322581,2,52.27272727,77.27272727,44,15,15,
88,TA,E-,T3,H-,7.25,3.05,0.91,3.29,167,17,30,13,10,3,7,0.636363636,32.64,40.49,1.456,2311.7,27.8090659340659,0.23117,6.29839512047411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,44.44444444,27.77777778,18,NA,NA,3.0245
89,TA,E-,T2,H-,7.98,1.75,1.69,4.54,129,22,36,14,4,1,3,0.272727273,26.1,40.82,1.496,3666.5,27.2860962566845,0.36665,4.08018546297559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,4,NA,NA,
90,TA,E-,Control,H-,7.23,0.96,1.32,4.95,131,16,27,11,1,1,0,0,29.58,39.37,1.215,3344,32.40329218107,0.3344,3.63337320574163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,66.66666667,22.22222222,9,NA,NA,
91,TA,E+,T1,H-,8.23,4.7,1.29,2.24,115,19,30,11,9,7,2,0.181818182,26.48,41.48,1.269,2503.5,32.6871552403467,0.25035,5.06890353505093,2.49731182795699,0,8.244,272.161,24.064,183.708,64.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,0,4,NA,NA,
92,TA,E-,T3,H-,6.94,2.3,1.04,3.6,114,17,26,9,7,2,5,0.454545455,32.86,38.69,1.53,3245.6,25.2875816993464,0.32456,4.71407443924082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,33.33333333,3,NA,NA,
93,TA,E-,Control,H+,5.85,3.84,1.02,0.99,67,15,36,21,8,8,0,0,30.12,40.06,0.801,1975.3,50.0124843945069,0.19753,4.05508024097605,NA,NA,NA,NA,NA,NA,NA,53,6.32,0.791044776119403,4.99940298507463,0.8223,0.16446,0.2712,2,0.5424,0.092717948717949,0,72.72727273,45.45454545,22,9,7.11940298507463,
94,TA,E-,T2,H+,7.15,2.99,1.57,2.59,88,14,32,18,5,5,0,0,34,40.19,1.415,1241.2,28.4028268551237,0.12412,11.4002578150177,NA,NA,NA,NA,NA,NA,NA,78,8.696,0.886363636363636,7.70781818181818,0.7893,0.15786,0,0,0,0,10,0,16.66666667,12,10,8.86363636363636,
95,TA,E-,Control,H-,8.11,3.16,1.97,2.98,96,17,32,15,6,5,1,0.090909091,32.9,40.47,1.258,2705.3,32.1701112877583,0.27053,4.65013122389384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,40,20,NA,NA,3.7392
96,TA,E-,T1,H+,6.3,4.88,0.66,0.76,69,17,23,6,7,6,1,0.090909091,37.38,40.87,1.882,1884.9,21.7162592986185,0.18849,9.98461456841212,NA,NA,NA,NA,NA,NA,NA,65,52.341,0.942028985507246,49.3067391304348,0.7328,0.14656,0,0,0,0,1,83.33333333,0,6,23,21.6666666666667,
